UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel
1,40,Male,HTC Vive,13.59850822622312,8,5
2,43,Female,HTC Vive,19.950814982037045,2,2
3,27,Male,PlayStation VR,16.543387403445806,4,2
4,33,Male,HTC Vive,42.574083299362634,6,3
5,51,Male,PlayStation VR,22.452646660410768,4,2
6,46,Other,Oculus Rift,28.284971508682087,7,4
7,49,Other,Oculus Rift,52.298300530611705,7,3
8,42,Other,Oculus Rift,22.959416073059774,8,2
9,56,Female,PlayStation VR,16.858710163062334,5,1
10,60,Male,Oculus Rift,34.470606224394096,5,4
11,37,Male,Oculus Rift,43.369076173206025,2,1
12,23,Other,PlayStation VR,25.109776419378324,8,4
13,45,Male,PlayStation VR,58.135515249597866,5,3
14,28,Female,PlayStation VR,25.98475653246694,5,5
15,23,Male,HTC Vive,57.14737170483026,7,4
16,34,Female,Oculus Rift,44.696538819831986,1,3
17,48,Male,PlayStation VR,22.86465198740359,10,5
18,54,Male,PlayStation VR,36.80742591920735,4,2
19,35,Other,Oculus Rift,48.29172371093784,10,1
20,27,Other,Oculus Rift,15.796858663495978,7,2
21,25,Other,Oculus Rift,36.50105563997955,10,1
22,57,Male,Oculus Rift,23.584564309552,4,3
23,38,Female,Oculus Rift,35.34748381756607,4,5
24,60,Female,Oculus Rift,44.650802883781175,10,5
25,41,Other,PlayStation VR,5.284614604786615,5,5
26,28,Female,PlayStation VR,26.694855666660153,9,1
27,60,Other,Oculus Rift,15.264069296488369,3,3
28,24,Male,HTC Vive,34.09273884345478,7,3
29,30,Other,HTC Vive,57.409610908285664,4,4
30,59,Female,Oculus Rift,11.516564009860105,6,3
31,31,Male,Oculus Rift,32.520598741098595,7,1
32,25,Other,HTC Vive,20.997101664056203,6,3
33,39,Female,PlayStation VR,18.351102873982278,1,5
34,49,Male,PlayStation VR,28.806867808740286,10,1
35,23,Other,PlayStation VR,20.103585377837604,3,1
36,53,Female,Oculus Rift,45.49614799594853,10,5
37,54,Other,Oculus Rift,37.727503772752364,5,3
38,41,Male,Oculus Rift,52.72082314860701,3,4
39,43,Female,PlayStation VR,6.115949163934541,10,3
40,45,Other,PlayStation VR,39.828380778093,9,2
41,30,Female,PlayStation VR,10.312469511647471,9,4
42,33,Male,HTC Vive,40.54652247600933,5,1
43,53,Female,HTC Vive,6.417383142271446,3,2
44,19,Other,PlayStation VR,14.899367933909813,10,1
45,51,Female,PlayStation VR,58.525514227701095,10,5
46,41,Other,PlayStation VR,19.296934502467554,6,4
47,39,Female,HTC Vive,21.0427613626076,2,4
48,29,Female,PlayStation VR,14.866675032647933,6,4
49,37,Female,Oculus Rift,46.19613981805462,8,5
50,36,Female,Oculus Rift,13.861580093962896,5,1
51,49,Female,Oculus Rift,16.850728486892848,2,4
52,34,Other,Oculus Rift,41.024921730814576,7,3
53,46,Other,PlayStation VR,48.887564989273706,6,2
54,54,Male,HTC Vive,53.91962373315263,5,2
55,38,Female,Oculus Rift,18.42890716490987,7,1
56,45,Male,HTC Vive,49.64095633147983,6,2
57,58,Other,PlayStation VR,43.97174729834192,5,2
58,38,Female,Oculus Rift,51.37879755562164,3,2
59,46,Other,HTC Vive,57.21322866729393,9,1
60,36,Other,HTC Vive,23.895177669622065,7,1
61,50,Other,Oculus Rift,14.665597513548036,8,4
62,44,Other,Oculus Rift,51.69183497363492,4,1
63,56,Male,PlayStation VR,50.04306923551602,6,3
64,47,Male,HTC Vive,50.52823104912159,2,5
65,43,Male,PlayStation VR,17.270449217582556,10,2
66,54,Male,HTC Vive,42.758467651011976,7,2
67,29,Female,PlayStation VR,13.467847728661791,8,5
68,57,Male,PlayStation VR,5.536129568559261,6,5
69,23,Male,HTC Vive,48.569948303232216,6,4
70,43,Male,HTC Vive,39.56828853000213,9,3
71,55,Other,PlayStation VR,25.267578994805252,1,1
72,49,Female,HTC Vive,8.11170520004374,4,2
73,60,Other,PlayStation VR,48.859332772860036,5,5
74,35,Female,HTC Vive,50.72528526056071,7,2
75,19,Male,PlayStation VR,41.27046296011498,10,3
76,42,Female,PlayStation VR,44.96861404693434,6,4
77,47,Male,PlayStation VR,27.19291658302162,7,4
78,44,Female,Oculus Rift,53.98785147523447,7,1
79,36,Female,PlayStation VR,32.97738405178237,5,2
80,28,Female,PlayStation VR,51.643972752162696,9,5
81,27,Male,HTC Vive,42.168265600984554,1,4
82,35,Other,PlayStation VR,44.10541934446075,5,3
83,26,Female,PlayStation VR,28.812585927484125,2,1
84,37,Female,PlayStation VR,57.97592199086118,8,3
85,27,Other,HTC Vive,5.008671710631825,7,2
86,45,Other,HTC Vive,14.335874260632306,6,1
87,37,Male,Oculus Rift,55.2234370704365,2,2
88,33,Female,PlayStation VR,50.594857548355044,9,2
89,42,Female,PlayStation VR,36.97239643525675,2,4
90,19,Other,HTC Vive,42.000945083305034,2,5
91,54,Other,PlayStation VR,13.024758899765473,4,4
92,43,Female,HTC Vive,31.43479161465861,1,4
93,48,Other,HTC Vive,28.114186190232424,10,3
94,21,Other,Oculus Rift,21.28381836921493,1,2
95,55,Female,PlayStation VR,42.98374607803835,7,1
96,58,Other,PlayStation VR,57.396617128161985,4,5
97,49,Female,Oculus Rift,39.50616333085914,8,1
98,47,Female,PlayStation VR,15.52703652064751,8,1
99,41,Other,HTC Vive,52.24950968801828,7,3
100,37,Female,PlayStation VR,35.44494881727786,8,5
101,21,Male,HTC Vive,43.628670404505,8,1
102,57,Other,HTC Vive,40.259012983939236,6,4
103,22,Male,HTC Vive,27.971016019590135,5,3
104,58,Male,Oculus Rift,5.938233637962936,8,2
105,27,Male,HTC Vive,44.62556264380942,1,3
106,38,Male,Oculus Rift,37.21702115880852,4,2
107,29,Male,HTC Vive,58.57555010227446,3,2
108,55,Male,PlayStation VR,43.4532130372289,10,4
109,39,Female,Oculus Rift,39.98129768969828,1,1
110,21,Other,HTC Vive,51.04603098994023,9,3
111,25,Male,Oculus Rift,25.32700076536103,3,2
112,60,Other,HTC Vive,12.702774917558262,1,4
113,39,Female,PlayStation VR,27.204564645110015,4,5
114,42,Male,Oculus Rift,31.646011617322397,8,4
115,37,Female,PlayStation VR,12.784447483912658,6,1
116,46,Female,Oculus Rift,31.173395578585243,1,4
117,34,Male,Oculus Rift,6.13900559378939,5,1
